Value,Count,MUKEY,musym,muname,aws0150wta,flodfreqdcd,AREASYMBOL,areaname,farmlndcl,tfact,drainagecl,runoff,cokey,hzdept_r,hzdepb_r,hzname,desgndisc,awc_r,chkey,hydriccriterion
1589377,7726.000000000000000,1589377,Ho,"Holton silt loam, occasionally flooded",26.7399998,Occasional,OH157,"Tuscarawas County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,Low,24362652,91,203,H3,,0.1600000,72408525,
1589378,1928.000000000000000,1589378,KcB,"Keene silt loam, 1 to 8 percent slopes",23.0799999,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,5,Moderately well drained,Medium,24362656,178,203,H5,,,72408530,
1589379,124.000000000000000,1589379,LwD,"Lowell-Westmoreland silt loams, 15 to 25 percent slopes",18.4200001,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,2,Well drained,,24362933,79,104,R,,0.0000000,72409579,
1589380,325.000000000000000,1589380,AbB,"Aaron silt loam, 2 to 6 percent slopes",16.6700001,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,3,Well drained,,24362941,87,112,Cr,,,72409616,
1589381,6189.000000000000000,1589381,AnC2,"Aaron silty clay loam, 6 to 15 percent slopes, eroded",22.0400009,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,4,Moderately well drained,Very high,24362658,142,152,H4,,,72408534,
1589382,792.000000000000000,1589382,BfD,"Berks channery silt loam, 15 to 25 percent slopes",8.9300003,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Moderately well drained,,24362791,152,177,Cr,,,72408809,
1589383,791.000000000000000,1589383,BrC,"Berks channery silt loam, 6 to 15 percent slopes",5.5100002,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,3,Well drained,Medium,24362666,71,76,H4,,,72408538,
1589385,496.000000000000000,1589385,CbA,"Caneadea silty clay loam, 0 to 2 percent slopes",20.2999992,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Somewhat poorly drained,Very high,24362670,23,140,H2,,0.1200000,72408540,
1589386,1091.000000000000000,1589386,ChC,"Coshocton silt loam, 6 to 15 percent slopes",20.6499996,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,4,Moderately well drained,,24362892,117,142,2Cr,2,,72409354,
1589388,2798.000000000000000,1589388,GeC,"Glenford silt loam, 6 to 15 percent slopes",24.1399994,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Moderately well drained,Medium,24362673,0,25,H1,,0.1800000,72408542,
1589389,2170.000000000000000,1589389,GrD2,"Guernsey silty clay loam, 15 to 25 percent slopes, eroded",18.7099991,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Moderately well drained,Very high,24362676,203,211,H4,,,72408549,
1589390,2171.000000000000000,1589390,HaE,"Hazleton channery sandy loam, 25 to 40 percent slopes",14.5200005,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Well drained,Medium,24362681,168,173,H4,,,72408551,
1589391,3083.000000000000000,1589391,KdB,"Keene silt loam, 2 to 6 percent slopes",25.1100006,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,5,Moderately well drained,Low,24362685,76,127,H3,,0.1300000,72408556,
1589392,332.000000000000000,1589392,UrC2,"Upshur silty clay loam, 6 to 15 percent slopes, eroded",17.5000000,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Well drained,Very high,24362689,163,168,H4,,,72408561,
1589393,13107.000000000000000,1589393,WeC,"Westmoreland silt loam, 6 to 15 percent slopes",17.6000004,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,3,Well drained,Medium,24362695,127,132,H4,,,72408565,
1589395,1041.000000000000000,1589395,CuB,"Chili loam, 2 to 6 percent slopes",12.5600004,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,5,Well drained,Very low,24362878,107,203,C,,0.0700000,72409267,
1589396,116.000000000000000,1589396,CpD,"Coshocton silt loam, 15 to 25 percent slopes",19.9599991,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,3,Well drained,,24362907,76,101,Cr,,,72409437,
1589397,73.000000000000000,1589397,GaC,"Gilpin silt loam, 8 to 15 percent slopes",12.6700001,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,2,Well drained,,24362770,73,98,R,,,72408708,
1589398,415.000000000000000,1589398,HbF,"Hazleton channery sandy loam, 25 to 70 percent slopes, very bouldery",12.6199999,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,3,Well drained,Medium,24362618,127,140,H4,,,72408499,
1589399,302.000000000000000,1589399,JbA,"Jimtown loam, 0 to 2 percent slopes",18.2099991,None,OH157,"Tuscarawas County, Ohio",Prime farmland if drained,4,Somewhat poorly drained,Low,24362624,109,203,H4,,0.0700000,72408503,
1589400,1668.000000000000000,1589400,RiC,"Rigley sandy loam, 6 to 15 percent slopes",15.3900003,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,3,Well drained,,24362836,91,116,H3,,,72409049,
1589401,5383.000000000000000,1589401,Tr,"Tioga fine sandy loam, occasionally flooded",19.4899998,Occasional,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,3,Well drained,Very low,24362630,69,203,H3,,0.1100000,72408506,
1589402,1260.000000000000000,1589402,WtA,"Wheeling silt loam, 0 to 3 percent slopes",18.2700005,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,5,Well drained,,24362853,152,203,2C,2,0.0600000,72409165,
1589405,3079.000000000000000,1589405,CeB,"Canfield silt loam, 2 to 6 percent slopes",13.8500004,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,4,Moderately well drained,,24362851,0,15,Ap,,0.2200000,72409149,
1589406,4369.000000000000000,1589406,CeC,"Canfield silt loam, 6 to 12 percent slopes",13.8500004,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,4,Moderately well drained,,24362881,0,15,Ap,,0.2200000,72409279,
1589407,29.000000000000000,1589407,ChB,"Coshocton silt loam, 2 to 6 percent slopes",20.5000000,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,3,Moderately well drained,,24362873,147,172,R,,0.0000000,72409241,
1589410,53374.000000000000000,1589410,FbA,"Fitchville silt loam, 0 to 2 percent slopes",25.3799992,None,OH157,"Tuscarawas County, Ohio",Prime farmland if drained,,,,24362466,,,,,,,3
1589411,14016.000000000000000,1589411,FbB,"Fitchville silt loam, 2 to 6 percent slopes",25.3799992,None,OH157,"Tuscarawas County, Ohio",Prime farmland if drained,,,,24362468,,,,,,,3
1589414,2004.000000000000000,1589414,GdB,"Glenford silt loam, 2 to 6 percent slopes",23.7600002,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,5,Moderately well drained,Medium,24362471,0,20,H1,,0.1800000,72408338,
1589415,586.000000000000000,1589415,GdC2,"Glenford silt loam, 6 to 12 percent slopes, eroded",23.7600002,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Moderately well drained,High,24362474,0,20,H1,,0.1800000,72408342,
1589416,343.000000000000000,1589416,HkF,"Hazleton loam, 25 to 70 percent slopes, very bouldery",12.5600004,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,3,Well drained,Medium,24362476,127,137,H4,,,72408349,
1589417,438.000000000000000,1589417,Uc,Udorthents-Pits complex,16.5000000,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,,,,24362480,,,,,,,
1589418,2105.000000000000000,1589418,WhC2,"Westmoreland silt loam, 8 to 15 percent slopes, eroded",18.4300003,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Well drained,Medium,24362484,137,178,H4,,,72408355,
1589419,296.000000000000000,1589419,WlC2,"Westmoreland-Coshocton complex, 8 to 15 percent slopes, eroded",20.2299995,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Well drained,Very high,24362487,135,178,H3,,,72408359,
1589420,91.000000000000000,1589420,WuD2,"Wooster silt loam, 12 to 18 percent slopes, eroded",20.1100006,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,4,Well drained,Medium,24362491,23,58,H2,,0.1600000,72408367,
1589421,199.000000000000000,1589421,Cg,"Chagrin silt loam, alkaline phase",23.9799995,Occasional,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,5,Well drained,Low,24362494,81,122,H2,,0.1700000,72408371,
1589422,3789.000000000000000,1589422,ClA,"Chili silt loam, 0 to 2 percent slopes",11.9200001,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,4,Somewhat poorly drained,,24362966,0,20,Ap,,0.2200000,72409728,
1589423,1017.000000000000000,1589423,ClB,"Chili silt loam, 2 to 6 percent slopes",11.2700005,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,4,Well drained,Very low,24362877,104,203,C,,0.0800000,72409261,
1589424,94.000000000000000,1589424,ClC,"Chili silt loam, 6 to 12 percent slopes",11.2200003,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,3,Well drained,Low,24362498,91,152,H4,,0.0300000,72408376,
1589425,75.000000000000000,1589425,CxF2,"Chili and Conotton gravelly loams, 25 to 50 percent slopes, moderately eroded",10.6300001,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,3,Well drained,Medium,24362501,61,152,H4,,0.0300000,72408380,
1589426,2786.000000000000000,1589426,CvB,"Conotton gravelly loam, 2 to 6 percent slopes",12.2900000,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,,,,24362504,,,,,,,
1589427,17.000000000000000,1589427,CvD2,"Conotton gravelly loam, 12 to 18 percent slopes, moderately eroded",12.2900000,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Well drained,Very low,24362507,107,152,H3,,0.0600000,72408389,
1589428,299.000000000000000,1589428,GaB,"Gilpin silt loam, 2 to 6 percent slopes",12.8500004,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,2,Well drained,High,24362508,76,81,H3,,,72408392,
1589429,50.000000000000000,1589429,GcD,"Gilpin silt loam, 15 to 25 percent slopes",12.8699999,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,4,Moderately well drained,,24362774,0,3,Oi,,0.2200000,72408731,
1589430,209.000000000000000,1589430,GdC,"Glenford silt loam, 6 to 12 percent slopes",18.4599991,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Moderately well drained,High,24362511,0,20,H1,,0.1900000,72408393,
1589431,26.000000000000000,1589431,LcE2,"Licking silt loam, 12 to 25 percent slopes, moderately eroded",23.5499992,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,4,Moderately well drained,High,24362514,51,112,H3,,0.1400000,72408398,
1589432,77.000000000000000,1589432,LoB,"Loudonville silt loam, 2 to 6 percent slopes",12.4399996,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,2,Well drained,Low,24362516,71,142,H4,,,72408402,
1589433,135.000000000000000,1589433,LoD,"Loudonville silt loam, 12 to 18 percent slopes",12.4399996,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,2,Well drained,Medium,24362520,71,142,H4,,,72408405,
1589434,615.000000000000000,1589434,LoD2,"Loudonville silt loam, 12 to 18 percent slopes, moderately eroded",12.4399996,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,2,Well drained,Medium,24362523,71,142,H4,,,72408408,
1589435,88.000000000000000,1589435,MeB,"Mentor silt loam, 2 to 6 percent slopes",29.0900002,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,5,Somewhat poorly drained,,24362953,0,20,Ap,,0.2400000,72409677,
1589436,2310.000000000000000,1589436,PyB,"Plainfield loamy sand, 0 to 6 percent slopes",8.6199999,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Excessively drained,Negligible,24362527,86,152,H3,,0.0500000,72408411,
1589437,145.000000000000000,1589437,PyC,"Plainfield loamy sand, 6 to 12 percent slopes",8.6199999,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Excessively drained,Very low,24362529,86,152,H3,,0.0500000,72408414,
1589438,195.000000000000000,1589438,ReB,"Ravenna silt loam, 2 to 6 percent slopes",13.1899996,None,OH157,"Tuscarawas County, Ohio",Prime farmland if drained,4,Somewhat poorly drained,,24362885,0,20,Ap,,0.2200000,72409307,
1589439,27.000000000000000,1589439,WtB,"Wheeling silt loam, 3 to 8 percent slopes",17.9899998,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,4,Moderately well drained,,24362857,145,203,H4,,0.1200000,72409179,
1589440,45.000000000000000,1589440,WtC,"Wheeling silt loam, 8 to 15 percent slopes",18.2800007,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,4,Moderately well drained,,24362860,145,203,H4,,0.1200000,72409189,
1589441,225.000000000000000,1589441,WxA,"Wheeling loam, 0 to 2 percent slopes",19.6100006,None,OH157,"Tuscarawas County, Ohio",All areas are prime farmland,5,Well drained,Low,24362532,104,127,H3,,0.0300000,72408417,
1589442,184.000000000000000,1589442,CyB,"Coshocton-Keene silt loams, 3 to 8 percent slopes",21.5100002,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Moderately well drained,Medium,24362698,152,157,H5,,,72408570,
1589443,994.000000000000000,1589443,GrC2,"Guernsey silty clay loam, 8 to 15 percent slopes, eroded",19.2000008,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Moderately well drained,High,24362703,175,180,H5,,,72408579,
1589444,2427.000000000000000,1589444,WkC,"Westmoreland-Coshocton silt loams, 8 to 15 percent slopes",18.7700005,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Well drained,Medium,24362707,152,157,H4,,,72408584,
1589445,12023.000000000000000,1589445,WkD,"Westmoreland-Coshocton silt loams, 15 to 25 percent slopes",19.3600006,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Well drained,High,24362713,165,170,H4,,,72408593,
1589447,13426.000000000000000,1589447,ChC2,"Coshocton silt loam, 6 to 15 percent slopes, eroded",21.8799992,None,OH157,"Tuscarawas County, Ohio",Not prime farmland,5,Moderately well drained,,24362896,170,195,2Cr,2,,72409378,
1589696,277.000000000000000,1589696,CfB,"Chili gravelly loam, 3 to 8 percent slopes",11.7100000,None,OH019,"Carroll County, Ohio",All areas are prime farmland,4,Well drained,Medium,23706608,104,203,C,,0.0800000,70369592,
1589697,1181.000000000000000,1589697,CsC,"Coshocton-Guernsey silt loams, 8 to 15 percent slopes",16.2399998,None,OH019,"Carroll County, Ohio",Not prime farmland,5,Moderately well drained,High,23706383,152,177,2Cr,2,,70368903,
1589698,4150.000000000000000,1589698,CsD,"Coshocton-Guernsey silt loams, 15 to 25 percent slopes",17.3999996,None,OH019,"Carroll County, Ohio",Not prime farmland,4,Moderately well drained,High,23706615,147,172,Cr,,,70369621,
1589699,2540.000000000000000,1589699,CtD,"Coshocton-Guernsey silt loams, 15 to 25 percent slopes, very stony",16.5400009,None,OH019,"Carroll County, Ohio",Not prime farmland,2,Well drained,,23706387,0,3,Oi,,0.0100000,70368926,
1589700,365.000000000000000,1589700,HaC,"Hazleton channery loam, 8 to 15 percent slopes",12.0500002,None,OH019,"Carroll County, Ohio",Not prime farmland,3,Well drained,,23706451,140,165,R,,,70369093,
1589701,24577.000000000000000,1589701,HaD,"Hazleton channery loam, 15 to 25 percent slopes",12.5900002,None,OH019,"Carroll County, Ohio",Not prime farmland,3,Well drained,,23706569,140,165,R,,,70369469,
1589702,1375.000000000000000,1589702,HaE,"Hazleton channery loam, 25 to 35 percent slopes",12.4399996,None,OH019,"Carroll County, Ohio",Not prime farmland,3,Well drained,,23706455,112,127,Cr,,,70369120,
1589703,2401.000000000000000,1589703,Ta,"Tioga loam, occasionally flooded",19.6299992,Occasional,OH019,"Carroll County, Ohio",All areas are prime farmland,3,Well drained,Very low,23706306,71,152,H3,,0.1100000,70368704,
1589960,889.000000000000000,1589960,CeB2,"Celina silt loam, 2 to 6 percent slopes, eroded",14.6800003,None,OH017,"Butler County, Ohio",All areas are prime farmland,5,Very poorly drained,Negligible,23706094,28,104,Btg,,0.1500000,70368145,2
1589961,813.000000000000000,1589961,CtA,"Crosby-Celina silt loams, 0 to 2 percent slopes",15.9600000,None,OH017,"Butler County, Ohio",Prime farmland if drained,3,Moderately well drained,Medium,23705732,23,64,2Bt,2,0.1500000,70367317,
1589962,624.000000000000000,1589962,CtB,"Crosby-Celina silt loams, 2 to 4 percent slopes, eroded",15.5500002,None,OH017,"Butler County, Ohio",Prime farmland if drained,3,Somewhat poorly drained,Medium,23706256,36,71,2Bt2,2,0.1300000,70368575,
1589963,20821.000000000000000,1589963,CvA,"Cyclone silt loam, 0 to 2 percent slopes",27.1000004,None,OH017,"Butler County, Ohio",Prime farmland if drained,4,Somewhat poorly drained,Low,23705669,69,127,2Bt2,2,0.1600000,70367151,
1589964,121.000000000000000,1589964,ElB,"Eldean loam, 2 to 6 percent slopes",12.6999998,None,OH017,"Butler County, Ohio",All areas are prime farmland,3,Well drained,Low,23705742,76,200,C,,0.0400000,70367363,
1589965,417.000000000000000,1589965,HeF2,"Hennepin-Miamian silt loams, 25 to 50 percent slopes, eroded",19.7399998,None,OH017,"Butler County, Ohio",Not prime farmland,2,Well drained,Very high,23706027,10,41,H2,,0.1500000,70367961,
1589966,3676.000000000000000,1589966,HwE2,"Hennepin-Wynn silt loams, 18 to 25 percent slopes, eroded",17.7999992,None,OH017,"Butler County, Ohio",Not prime farmland,2,Well drained,Very high,23705659,0,10,H1,,0.1500000,70367115,
1589967,1580.000000000000000,1589967,HwF2,"Hennepin-Wynn silt loams, 25 to 50 percent slopes, eroded",16.5100002,None,OH017,"Butler County, Ohio",Not prime farmland,2,Well drained,Very high,23705852,0,10,H1,,0.1500000,70367573,
1589968,223.000000000000000,1589968,KeC2,"Kendallville-Eldean silt loams, 6 to 12 percent slopes, eroded",17.7600002,None,OH017,"Butler County, Ohio",Not prime farmland,3,Well drained,Medium,23705841,13,66,H2,,0.1100000,70367554,
1589969,285.000000000000000,1589969,KeD2,"Kendallville-Eldean silt loams, 12 to 18 percent slopes, eroded",17.5900002,None,OH017,"Butler County, Ohio",Not prime farmland,3,Well drained,Medium,23705473,8,81,H2,,0.1400000,70366689,
1589970,525.000000000000000,1589970,KnA,"Kokomo silt loam, 0 to 1 percent slopes",22.4500008,None,OH017,"Butler County, Ohio",Prime farmland if drained,3,Moderately well drained,Medium,23705549,23,64,2Bt,2,0.1500000,70366920,
1589971,992.000000000000000,1589971,KoA,"Kokomo silty clay loam, 0 to 1 percent slopes",21.6499996,None,OH017,"Butler County, Ohio",Prime farmland if drained,3,Moderately well drained,Medium,23705907,23,64,2Bt,2,0.1500000,70367702,
1589972,5321.000000000000000,1589972,MoB2,"Miamian-Celina silt loams, 2 to 6 percent slopes, eroded",16.7399998,None,OH017,"Butler County, Ohio",All areas are prime farmland,3,Well drained,Medium,23706098,30,61,2Bt2,2,0.1200000,70368164,
1589973,1213.000000000000000,1589973,MrC3,"Miamian-Losantville clay loams, 6 to 12 percent slopes, severely eroded",15.3500004,None,OH017,"Butler County, Ohio",Not prime farmland,2,Well drained,High,23705469,0,10,H1,,0.2200000,70366682,
1589974,50.000000000000000,1589974,MrD3,"Miamian-Losantville clay loams, 12 to 18 percent slopes, severely eroded",16.1800003,None,OH017,"Butler County, Ohio",Not prime farmland,2,Well drained,High,23705837,0,8,H1,,0.2200000,70367546,
1589975,3251.000000000000000,1589975,MpE2,"Miamian-Hennepin silt loams, 18 to 25 percent slopes, eroded",18.9599991,None,OH017,"Butler County, Ohio",Not prime farmland,3,Well drained,Very high,23705845,8,46,H2,,0.1800000,70367560,
1589976,1168.000000000000000,1589976,MvA,"Milford silty clay loam, 0 to 2 percent slopes",28.6599998,None,OH017,"Butler County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,23705478,0,25,H1,,0.2200000,70366696,3
1589977,398.000000000000000,1589977,RbB2,"Rainsville silt loam, 2 to 6 percent slopes, eroded",24.0799999,None,OH017,"Butler County, Ohio",All areas are prime farmland,5,Moderately well drained,Low,23705847,15,91,H2,2,0.1800000,70367568,
1589978,3928.000000000000000,1589978,RoA,"Rossburg silt loam, moderately wet, sandy substratum, 0 to 1 percent slopes, occasionally flooded",23.3099995,Occasional,OH017,"Butler County, Ohio",All areas are prime farmland,4,Well drained,Negligible,23705466,132,203,H4,,0.0400000,70366679,
1589979,410.000000000000000,1589979,SwA,"Stonelick loam, gravelly substratum, 0 to 1 percent slopes, frequently flooded",17.6700001,Frequent,OH017,"Butler County, Ohio",Prime farmland if protected from flooding or not frequently flooded during the growing season,3,Well drained,Negligible,23705850,76,203,H3,,0.0300000,70367572,
1589980,19937.000000000000000,1589980,WnA,"Westland silt loam, 0 to 2 percent slopes",20.0400009,None,OH017,"Butler County, Ohio",Prime farmland if drained,4,Very poorly drained,Negligible,23706029,130,203,H4,,0.0300000,70367970,3
1589981,2889.000000000000000,1589981,WyD2,"Wynn silt loam, 12 to 18 percent slopes, eroded",13.4300003,None,OH017,"Butler County, Ohio",Not prime farmland,3,Well drained,High,23705855,71,97,H3,,,70367581,
1590109,214.000000000000000,1590109,EeA,"Eel silt loam, gravelly substratum, 0 to 1 percent slopes, occasionally flooded",27.2999992,Occasional,OH113,"Montgomery County, Ohio",All areas are prime farmland,,,,23995268,,,,,,,
1590110,171.000000000000000,1590110,FnA,"Fox silt loam, till substratum, 0 to 2 percent slopes",18.0400009,None,OH113,"Montgomery County, Ohio",All areas are prime farmland,4,Well drained,Low,23995422,124,200,2C,2,0.0300000,71326623,
1590111,78.000000000000000,1590111,KfD2,"Kendallville-Eldean silt loams, 12 to 18 percent slopes, eroded",17.5900002,None,OH113,"Montgomery County, Ohio",Not prime farmland,,,,23995178,,,,,,,
1590113,1836.000000000000000,1590113,MfB,"Miamian-Celina silt loams, 2 to 6 percent slopes",21.4500008,None,OH113,"Montgomery County, Ohio",All areas are prime farmland,3,Well drained,Medium,23995170,0,23,H1,,0.2200000,71326020,
1590114,444.000000000000000,1590114,MgF2,"Miamian-Kendallville silt loams, 25 to 50 percent slopes, eroded",19.7099991,None,OH113,"Montgomery County, Ohio",Not prime farmland,3,Well drained,Very high,23995502,0,15,H1,,0.2200000,71326734,
1590115,1403.000000000000000,1590115,MhD3,"Miamian-Losantville clay loams, 12 to 18 percent slopes, severely eroded",16.1800003,None,OH113,"Montgomery County, Ohio",Not prime farmland,2,Well drained,High,23995396,0,8,H1,,0.2200000,71326536,
1590116,89.000000000000000,1590116,MwA,"Millsdale silt loam, 0 to 2 percent slopes",11.0100002,None,OH113,"Montgomery County, Ohio",Prime farmland if drained,2,Somewhat poorly drained,Medium,23995299,84,109,2R,2,,71326363,
1590117,70.000000000000000,1590117,PmB,"Plattville silt loam, moderately wet, 2 to 6 percent slopes",20.7199993,None,OH113,"Montgomery County, Ohio",All areas are prime farmland,,,,23995183,,,,,,,2
1590118,161.000000000000000,1590118,RaA,"Rainsville silt loam, 0 to 2 percent slopes",25.2800007,None,OH113,"Montgomery County, Ohio",All areas are prime farmland,5,Moderately well drained,Low,23995272,140,203,H5,3,0.0300000,71326260,
1590119,49.000000000000000,1590119,RpA,"Rossburg silt loam, moderately wet, sandy substratum, 0 to 1 percent slopes, occasionally flooded",23.3099995,Occasional,OH113,"Montgomery County, Ohio",All areas are prime farmland,4,Well drained,Negligible,23995161,46,89,H2,,0.1900000,71326005,
1590120,5273.000000000000000,1590120,StA,"Stonelick loam, gravelly substratum, 0 to 1 percent slopes, frequently flooded",17.6700001,Frequent,OH113,"Montgomery County, Ohio",Prime farmland if protected from flooding or not frequently flooded during the growing season,3,Well drained,Negligible,23995400,0,25,H1,,0.2100000,71326543,
1590121,321.000000000000000,1590121,Un,Udorthents,,,OH113,"Montgomery County, Ohio",Not prime farmland,,,,23995505,,,,,,,
1590124,5707.000000000000000,1590124,CtA,"Crosby-Celina silt loams, 0 to 2 percent slopes",15.9600000,None,OH113,"Montgomery County, Ohio",Prime farmland if drained,4,Somewhat poorly drained,Low,23995519,0,30,Ap,,0.2100000,71326789,
1590125,512.000000000000000,1590125,CvA,"Crosby-Lewisburg silt loams, 0 to 2 percent slopes",16.0100002,None,OH113,"Montgomery County, Ohio",Prime farmland if drained,3,Somewhat poorly drained,Medium,23995167,0,23,H1,,0.2100000,71326013,
1590126,16422.000000000000000,1590126,KoA,"Kokomo silty clay loam, 0 to 1 percent slopes",21.6499996,None,OH113,"Montgomery County, Ohio",Prime farmland if drained,3,Moderately well drained,Medium,23995405,0,23,Ap,,0.2200000,71326555,
1590127,1364.000000000000000,1590127,LfB,"Lewisburg-Celina silt loams, 2 to 6 percent slopes",19.8600006,None,OH113,"Montgomery County, Ohio",All areas are prime farmland,,,,23995498,,,,,,,2
1590128,4938.000000000000000,1590128,MfB2,"Miamian-Celina silt loams, 2 to 6 percent slopes, eroded",16.7399998,None,OH113,"Montgomery County, Ohio",All areas are prime farmland,3,Moderately well drained,High,23995302,84,94,2BCt,2,0.0800000,71326374,
1590129,299.000000000000000,1590129,MhC3,"Miamian-Losantville clay loams, 6 to 12 percent slopes, severely eroded",15.3500004,None,OH113,"Montgomery County, Ohio",Not prime farmland,2,Well drained,High,23995174,48,66,H3,,0.1500000,71326027,
1592166,1978.000000000000000,1592166,AdA,"Adrian muck, drained, 0 to 1 percent slopes",30.6000004,None,OH147,"Seneca County, Ohio",Not prime farmland,5,Very poorly drained,Negligible,24179870,61,203,C,,0.0600000,71862463,2
1592168,601.000000000000000,1592168,BrA,"Blount-Houcktown complex, 0 to 3 percent slopes",17.8799992,None,OH147,"Seneca County, Ohio",Prime farmland if drained,,,,24179615,,,,,,,2
1592169,435.000000000000000,1592169,DpB,"Dunbridge loamy fine sand, 1 to 4 percent slopes",8.5600004,None,OH147,"Seneca County, Ohio",All areas are prime farmland,2,Well drained,High,24179732,64,69,H3,,,71862237,
1592170,2407.000000000000000,1592170,GfA,"Gilford mucky loam, 0 to 2 percent slopes",17.3299999,None,OH147,"Seneca County, Ohio",Prime farmland if drained,3,Very poorly drained,Negligible,24179775,91,200,3Cg2,3,0.0700000,71862350,2
1592171,1297.000000000000000,1592171,GmA,"Glynwood loam, limestone substratum, 0 to 2 percent slopes",18.0599995,None,OH147,"Seneca County, Ohio",All areas are prime farmland,,,,24179861,,,,,,,
1592172,443.000000000000000,1592172,HnB,"Houcktown loam, 2 to 6 percent slopes",16.9099998,None,OH147,"Seneca County, Ohio",All areas are prime farmland,,,,24179738,,,,,,,
1592173,6291.000000000000000,1592173,MpA,"Morley loam, limestone substratum, 0 to 2 percent slopes",16.6399994,None,OH147,"Seneca County, Ohio",All areas are prime farmland,,,,24179477,,,,,,,
1592174,1815.000000000000000,1592174,MsB,"Morley, limestone substratum-Milton complex, 2 to 6 percent slopes",15.1899996,None,OH147,"Seneca County, Ohio",All areas are prime farmland,2,Very poorly drained,Negligible,24179365,76,101,R,,,71861811,3
1592178,16565.000000000000000,1592178,PoA,"Pewamo-Urban land complex, 0 to 2 percent slopes",19.9799995,None,OH147,"Seneca County, Ohio",Not prime farmland,,,,24179491,,,,,,,
1592179,134.000000000000000,1592179,BgA,"Bennington silt loam, 0 to 2 percent slopes",20.4400005,None,OH147,"Seneca County, Ohio",Prime farmland if drained,5,Moderately well drained,High,24179755,20,86,Bt,,0.1500000,71862273,
1592180,376.000000000000000,1592180,BtA,"Bogart loam, 0 to 2 percent slopes",22.0000000,None,OH147,"Seneca County, Ohio",All areas are prime farmland,5,Moderately well drained,,24179595,150,190,H4,,0.0500000,71862065,
1592181,155.000000000000000,1592181,Crd1B2,"Cardington silt loam, 2 to 6 percent slopes, eroded",19.6499996,None,OH147,"Seneca County, Ohio",All areas are prime farmland,5,Poorly drained,Negligible,24179771,25,137,Btg,,0.1200000,71862333,2
